Year,DepTime,UniqueCarrier,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Delay,CRSDepTime_sin,CRSDepTime_cos,CRSArrTime_sin,CRSArrTime_cos,ArrTime_sin,ArrTime_cos,Month_sin,Month_cos,DayofMonth_sin,DayofMonth_cos,DayOfWeek_sin,DayOfWeek_cos
1999,1835.0,AS,135.0,145.0,117.0,2.0,12.0,LAX,SEA,954,8,10,Y,-0.9946278744958144,0.10351517413373973,-0.7406074035659503,0.6719379984666007,-0.7372773368101242,0.6755902076156601,-1.0,-1.8369701987210297e-16,0.9987165071710528,-0.05064916883871264,0.43388373911755823,-0.900968867902419
1999,1632.0,DL,132.0,120.0,96.0,9.0,-3.0,CVG,JFK,589,18,18,Y,-0.9330971123609642,-0.3596244970849876,-0.9878415498308071,0.15546405509914243,-0.9816271834476639,0.1908089953765451,0.8660254037844387,-0.4999999999999998,0.6513724827222223,-0.758758122692791,0.7818314824680298,0.6234898018587336
1999,829.0,DL,159.0,154.0,123.0,4.0,-1.0,EWR,ATL,745,8,28,Y,0.7924109927182459,-0.6099875561183884,0.23996783746994885,-0.9707808387993637,0.2249510543438652,-0.9743700647852351,-2.4492935982947064e-16,1.0,0.29936312297335804,-0.9541392564000488,0.9749279121818236,-0.22252093395631434
1999,750.0,WN,59.0,60.0,49.0,-1.0,0.0,PDX,BOI,344,2,8,N,0.8863518809064319,-0.4630122495287034,0.5357899281109265,-0.8443513207989244,0.5409744713679944,-0.8410390129643922,1.0,6.123233995736766e-17,-0.4853019625310808,-0.8743466161445822,-0.433883739117558,-0.9009688679024191
1999,808.0,DL,54.0,60.0,38.0,-8.0,-2.0,ATL,CHS,259,4,12,N,0.8425922095841674,-0.5385521036520705,0.6743597074793792,-0.7384029962888329,0.700909264299851,-0.7132504491541815,-0.8660254037844385,-0.5000000000000004,-0.5712682150947924,0.8207634412072763,-0.7818314824680299,0.6234898018587334
1999,1356.0,CO,69.0,71.0,52.0,146.0,148.0,MFE,IAH,316,8,9,Y,0.13710695431926787,-0.9905562493252437,-0.17161724471230425,-0.9851637028013959,-0.7223639620597555,-0.6915130557822695,1.0,6.123233995736766e-17,0.9987165071710528,-0.05064916883871264,0.7818314824680298,0.6234898018587336
1999,2241.0,TW,57.0,63.0,46.0,-10.0,-4.0,SAN,PHX,304,4,7,N,-0.31751743531476423,0.9482524338334886,-0.04801144418676274,0.9988467856618959,-0.09584575252022448,0.9953961983671787,-0.866025403784439,0.49999999999999933,0.5712682150947923,0.8207634412072763,-2.4492935982947064e-16,1.0
1999,1829.0,US,122.0,120.0,100.0,-1.0,-3.0,MCI,CLT,809,6,16,N,-0.9897931770612167,0.14251128601996005,-0.5986816856712665,0.8009870406203904,-0.6052939880428949,0.7960020025346217,-0.5000000000000004,0.8660254037844384,-0.29936312297335776,-0.9541392564000489,0.43388373911755823,-0.900968867902419
1999,1538.0,US,132.0,138.0,120.0,-3.0,3.0,TPA,BWI,842,5,7,Y,-0.8081177822650173,-0.5890209249144466,-0.9996276586791298,-0.027286333643074433,-0.9990482215818578,-0.04361938736533613,0.8660254037844387,-0.4999999999999998,-0.9377521321470804,0.3473052528448203,-2.4492935982947064e-16,1.0
1999,1002.0,US,105.0,117.0,93.0,0.0,12.0,CLT,MIA,650,3,9,Y,0.5357899281109265,-0.8443513207989244,0.054552347627128774,-0.9985109119926376,0.05669278756337765,-0.9983916705573488,-0.5000000000000004,0.8660254037844384,0.9377521321470804,0.3473052528448203,-0.7818314824680299,0.6234898018587334
1999,904.0,AA,339.0,339.0,313.0,4.0,4.0,LAX,HNL,2556,2,24,Y,0.7059480290227685,-0.7082636375805752,0.08939080453536583,-0.9959966285407396,0.07410849019539963,-0.9972501850994856,1.2246467991473532e-16,-1.0,0.9680771188662043,-0.2506525322587204,0.43388373911755823,-0.900968867902419
1999,744.0,AA,230.0,213.0,188.0,16.0,-1.0,SJC,DFW,1438,30,12,Y,0.8962482369418385,-0.44355281284041703,-0.3360867786520302,-0.9418310237061112,-0.3987490689252459,-0.9170600743851242,-0.8660254037844385,-0.5000000000000004,0.72479278722912,0.6889669190756866,0.43388373911755823,-0.900968867902419
1999,1830.0,WN,153.0,155.0,133.0,3.0,5.0,LAS,MCI,1140,5,15,Y,-0.9936859928856472,0.11219691414145679,-0.2547749479530451,0.9670003753337033,-0.24615329302899377,0.9692309097067542,-0.5000000000000004,0.8660254037844384,-0.72479278722912,0.6889669190756865,-0.7818314824680299,0.6234898018587334
1999,1100.0,WN,50.0,50.0,39.0,0.0,0.0,HOU,DAL,239,3,8,N,0.2568854727310413,-0.9664418523117412,0.04146848123649409,-0.9991398125707626,0.043619387365335625,-0.9990482215818578,-1.0,-1.8369701987210297e-16,0.7907757369376985,-0.6121059825476629,-0.7818314824680299,0.6234898018587334
1999,1723.0,DL,138.0,140.0,111.0,-4.0,-2.0,SAT,ATL,874,12,15,N,-0.9888385721688989,-0.14899086613270368,-0.7493453741762411,0.6621793640703922,-0.7632324697825291,0.6461239796429635,0.49999999999999994,0.8660254037844387,-0.8486442574947509,0.5289640103269624,0.9749279121818236,-0.22252093395631434
1999,1202.0,DL,179.0,165.0,154.0,16.0,2.0,MCO,BDL,1050,3,22,Y,-0.002183175926323918,-0.9999976168685977,-0.6613609926771273,-0.7500677551829066,-0.7101853756232851,-0.7040147244559687,-0.8660254037844385,-0.5000000000000004,0.9987165071710528,-0.05064916883871264,-2.4492935982947064e-16,1.0
1999,1109.0,WN,52.0,55.0,41.0,6.0,9.0,DAL,HOU,239,4,7,Y,0.2568854727310413,-0.9664418523117412,0.019647334689002593,-0.9998069724899994,-0.004363309284747065,-0.9999904807207345,0.8660254037844386,0.5000000000000001,-0.7907757369376986,-0.6121059825476627,-0.7818314824680299,0.6234898018587334
1999,958.0,US,172.0,172.0,149.0,3.0,3.0,DEN,PIT,1290,7,16,Y,0.517230022234635,-0.8558464255339032,-0.6678858164811265,-0.7442637544199898,-0.6755902076156601,-0.7372773368101241,-0.8660254037844385,-0.5000000000000004,-0.29936312297335776,-0.9541392564000489,0.9749279121818236,-0.22252093395631434
1999,1900.0,WN,123.0,130.0,102.0,-7.0,0.0,MDW,MHT,838,3,18,N,-0.9650253980022768,0.26215640600707685,-0.4581677181278541,0.8888657615554304,-0.48862124149695535,0.872496007072797,0.5000000000000003,-0.8660254037844385,-0.9377521321470804,0.3473052528448203,0.9749279121818236,-0.22252093395631434
1999,759.0,UA,162.0,153.0,114.0,8.0,-1.0,SFO,DEN,967,23,25,Y,0.8652967608865969,-0.5012599281801443,0.11545039631255308,-0.9933132466605258,0.08280820751220463,-0.9965655024977614,-2.4492935982947064e-16,1.0,0.20129852008866006,0.9795299412524945,0.43388373911755823,-0.900968867902419
1999,603.0,DL,55.0,59.0,34.0,-6.0,-2.0,SAV,ATL,215,10,11,N,0.9997372711637522,-0.022921357857994457,0.960906528695157,-0.27687297287930307,0.9681476403781077,-0.2503800040544414,-0.866025403784439,0.49999999999999933,-0.9377521321470804,0.3473052528448203,0.7818314824680298,0.6234898018587336
1999,957.0,CO,64.0,69.0,38.0,-8.0,-3.0,DCA,EWR,199,6,20,N,0.4984236006303463,-0.8669336274102424,0.21871846537690937,-0.9757880061279549,0.2546019482055277,-0.9670459389139431,0.49999999999999994,0.8660254037844387,-0.3943558551133187,0.9189578116202306,-0.9749279121818236,-0.2225209339563146
1999,1836.0,DL,131.0,119.0,95.0,13.0,1.0,MIA,ATL,595,7,29,Y,-0.9878415498308071,0.15546405509914243,-0.7802734059262401,0.625438575724479,-0.7460573750616997,0.6658816660008341,-2.4492935982947064e-16,1.0,0.7907757369376985,-0.6121059825476629,-0.7818314824680299,0.6234898018587334
1999,611.0,DL,116.0,108.0,84.0,4.0,-4.0,SAN,SLC,626,12,20,Y,0.9977839101255855,-0.06653772384518025,0.6966101378619638,-0.7174498699058602,0.685182990326359,-0.7283709698824004,0.5000000000000003,-0.8660254037844385,0.9680771188662043,-0.2506525322587204,-2.4492935982947064e-16,1.0
1999,1433.0,AA,130.0,135.0,114.0,3.0,8.0,SWF,ORD,714,6,10,Y,-0.5934227915437338,-0.8048909183712053,-0.8207835565049689,-0.5712393135727394,-0.8265897491271885,-0.5628049276950688,0.5000000000000003,-0.8660254037844385,0.6513724827222223,-0.758758122692791,0.43388373911755823,-0.900968867902419
1999,1503.0,UA,237.0,243.0,218.0,-2.0,4.0,LGA,DEN,1619,5,14,Y,-0.7059480290227678,-0.708263637580576,-0.9689188929378818,-0.24737861449209683,-0.9659258262890683,-0.25881904510252063,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763,-0.433883739117558,-0.9009688679024191
1999,1043.0,UA,134.0,136.0,108.0,-3.0,-1.0,ORD,BOS,867,7,19,N,0.32372119135287714,-0.94615251955965,-0.5022041776294791,-0.8647490757274613,-0.48862124149695463,-0.8724960070727973,-0.4999999999999997,-0.8660254037844388,0.72479278722912,0.6889669190756866,-2.4492935982947064e-16,1.0
1999,1828.0,CO,134.0,134.0,113.0,-2.0,-2.0,JAX,IAH,817,10,11,N,-0.9909999303772127,0.1338623845311284,-0.8972144548875675,0.4415950882208783,-0.9025852843498607,0.4305110968082948,-0.8660254037844385,-0.5000000000000004,-0.8978045395707417,-0.44039415155763423,-0.7818314824680299,0.6234898018587334
1999,1058.0,US,114.0,89.0,78.0,23.0,-2.0,CLT,MCO,468,3,33,Y,0.2568854727310413,-0.9664418523117412,-0.1284515952923445,-0.991715779680273,-0.2249510543438654,-0.9743700647852351,-0.866025403784439,0.49999999999999933,0.8978045395707416,-0.4403941515576344,-2.4492935982947064e-16,1.0
1999,1856.0,NW,236.0,242.0,204.0,-10.0,-4.0,MSP,LAX,1536,13,19,N,-0.9650253980022768,0.26215640600707685,-0.6981747970327917,0.7159273376455323,-0.7313537016191703,0.6819983600624986,1.2246467991473532e-16,-1.0,0.9884683243281114,0.1514277775045767,0.7818314824680298,0.6234898018587336
1999,2003.0,WN,91.0,95.0,71.0,4.0,8.0,PHX,SLC,507,3,17,Y,-0.8749781563825716,0.4841623961578966,-0.6056535571635977,0.7957284516058734,-0.594822786751341,0.8038568606172175,0.8660254037844386,0.5000000000000001,0.6513724827222223,-0.758758122692791,-0.9749279121818236,-0.2225209339563146
1999,1811.0,DL,109.0,115.0,84.0,10.0,16.0,ATL,BWI,576,5,20,Y,-0.9998278236288062,-0.018555945076574567,-0.8853389314166673,0.464946208198318,-0.866025403784439,0.49999999999999933,-1.0,-1.8369701987210297e-16,0.8486442574947509,0.5289640103269624,-2.4492935982947064e-16,1.0
1999,1938.0,WN,45.0,50.0,33.0,93.0,98.0,LAS,ONT,197,2,10,Y,-0.999994637957007,0.003274760637736691,-0.9755486741836519,0.21978349414484946,-0.8115739819650127,0.5842496656374337,-0.4999999999999997,-0.8660254037844388,0.9377521321470804,0.3473052528448203,0.9749279121818236,-0.22252093395631434
1999,1630.0,NW,62.0,72.0,44.0,80.0,90.0,DTW,ORD,235,5,13,Y,-0.7090338204393329,-0.7051744759087667,-0.7449923675526727,-0.6670729887263188,-0.9271838545667876,-0.37460659341591146,-0.866025403784439,0.49999999999999933,0.10116832198743228,-0.9948693233918952,-0.9749279121818236,-0.2225209339563146
1999,1755.0,UA,90.0,82.0,55.0,3.0,-5.0,SFO,LAX,337,11,24,Y,-0.999994637957007,0.003274760637736691,-0.9354324548525422,0.35350547719737874,-0.9320078692827986,0.36243803828370147,0.8660254037844387,-0.4999999999999998,0.9377521321470804,0.3473052528448203,0.9749279121818236,-0.22252093395631434
1999,1815.0,UA,150.0,150.0,132.0,0.0,0.0,DEN,SMF,910,7,11,N,-0.9976362687185254,0.0687159030893002,-0.8952777472414744,0.44550842337068186,-0.8968727415326884,0.442288690219001,0.8660254037844386,0.5000000000000001,-0.8486442574947509,0.5289640103269624,-0.9749279121818236,-0.2225209339563146
1999,740.0,UA,162.0,176.0,144.0,-13.0,1.0,ORD,MIA,1197,4,14,Y,0.0,1.0,0.0,1.0,0.16504760586067765,-0.9862856015372314,1.0,6.123233995736766e-17,-0.5712682150947924,0.8207634412072763,-2.4492935982947064e-16,1.0
1999,1237.0,DL,58.0,59.0,43.0,-4.0,-3.0,CVG,GRR,268,4,11,N,-0.17591716987615166,-0.9844049722257426,-0.4209136948614141,-0.9071006898234134,-0.4027466898587371,-0.9153114791194472,0.8660254037844386,0.5000000000000001,0.9884683243281114,0.1514277775045767,-2.4492935982947064e-16,1.0
1999,2258.0,UA,252.0,258.0,234.0,27.0,33.0,ORD,SEA,1721,4,14,Y,-0.3990104386639687,0.9169463832946763,0.18665213045308116,0.9824260695835214,0.3007057995042731,0.9537169507482269,0.8660254037844387,-0.4999999999999998,0.7907757369376985,-0.6121059825476629,-2.4492935982947064e-16,1.0
1999,1343.0,UA,230.0,245.0,199.0,-2.0,13.0,SFO,ORD,1846,12,19,Y,-0.384951393153995,-0.9229368477359642,-0.913870756971612,0.4060052210897453,-0.9187912101488982,0.39474385638426757,-0.8660254037844385,-0.5000000000000004,0.39435585511331855,0.9189578116202306,0.7818314824680298,0.6234898018587336
1999,1930.0,DL,133.0,141.0,111.0,-8.0,0.0,DFW,TPA,929,4,18,N,-0.922516089308332,0.3859586311604675,-0.2925688780289582,0.9562444518055394,-0.3296906452627879,0.944089020392784,0.49999999999999994,0.8660254037844387,0.9987165071710528,-0.05064916883871264,-0.9749279121818236,-0.2225209339563146
1999,927.0,CO,122.0,110.0,103.0,9.0,-3.0,ELP,IAH,667,7,12,Y,0.6073893290110237,-0.7944043070147205,-0.08939080453536558,-0.9959966285407397,-0.12619896913582931,-0.9920049496797151,-0.8660254037844385,-0.5000000000000004,-0.7907757369376986,-0.6121059825476627,-0.9749279121818236,-0.2225209339563146
1999,2211.0,DL,61.0,57.0,24.0,0.0,-4.0,ATL,BHM,134,4,33,N,-0.4386545577885558,0.8986557621978098,-0.4503881394119306,0.8928328644696382,-0.45399049973954697,0.8910065241883678,0.5000000000000003,-0.8660254037844385,-0.8486442574947509,0.5289640103269624,0.43388373911755823,-0.900968867902419
1999,622.0,AA,66.0,60.0,47.0,8.0,2.0,IAH,DFW,224,7,12,Y,0.9960936131272358,-0.08830353269903003,0.939235473592265,-0.34327354274093663,0.9271838545667874,-0.37460659341591185,0.49999999999999994,0.8660254037844387,0.8486442574947509,0.5289640103269624,0.9749279121818236,-0.22252093395631434
1999,1623.0,NW,69.0,73.0,51.0,-6.0,-2.0,GFK,MSP,284,10,8,N,-0.9165102817420658,-0.4000111291715259,-0.9956985544759284,-0.09265197577249396,-0.9925461516413221,-0.12186934340514717,0.8660254037844386,0.5000000000000001,-0.9377521321470804,0.3473052528448203,-0.433883739117558,-0.9009688679024191
1999,1759.0,WN,63.0,60.0,50.0,17.0,14.0,OAK,BUR,325,2,11,Y,-0.9980649251576613,-0.06218042433139138,-0.9801140802488963,0.19843485000840966,-0.9636304532086231,0.26723837607825673,1.0,6.123233995736766e-17,0.72479278722912,0.6889669190756866,-0.433883739117558,-0.9009688679024191
1999,729.0,DL,69.0,76.0,53.0,-8.0,-1.0,DFW,BTR,383,3,13,N,0.9233565064233767,-0.38394369645250936,0.7478979343412011,-0.6638137387913604,0.7716245833877202,-0.6360782202777637,-1.0,-1.8369701987210297e-16,-0.29936312297335776,-0.9541392564000489,-0.9749279121818236,-0.2225209339563146
1999,1610.0,TW,64.0,68.0,50.0,-4.0,0.0,IND,STL,229,6,8,N,-0.8883651013201087,-0.45913772090355737,-0.9038579871078987,-0.4278326064493656,-0.8949343616020248,-0.44619781310980944,0.8660254037844386,0.5000000000000001,0.8978045395707416,-0.4403941515576344,0.43388373911755823,-0.900968867902419
1999,1105.0,WN,80.0,75.0,60.0,5.0,0.0,TUL,STL,351,3,17,Y,0.23572678936065966,-0.9718193663318895,-0.08939080453536558,-0.9959966285407397,-0.10886687485196432,-0.9940563382223196,0.5000000000000003,-0.8660254037844385,-0.4853019625310808,-0.8743466161445822,0.9749279121818236,-0.22252093395631434
1999,1830.0,WN,73.0,75.0,63.0,-2.0,0.0,OAK,LAX,337,5,5,N,-0.9909999303772127,0.1338623845311284,-0.8952777472414744,0.44550842337068186,-0.9006982393225882,0.43444525740441653,0.8660254037844386,0.5000000000000001,0.72479278722912,0.6889669190756866,-0.433883739117558,-0.9009688679024191
1999,1237.0,UA,98.0,112.0,86.0,-5.0,9.0,DFW,DEN,641,4,8,Y,-0.12412020111316303,-0.9922671896599363,-0.34429859697276594,-0.9388602005211345,-0.32143946530316153,-0.9469301294951057,0.49999999999999994,0.8660254037844387,0.20129852008866006,0.9795299412524945,-0.9749279121818236,-0.2225209339563146
1999,1752.0,US,104.0,109.0,79.0,12.0,17.0,PHL,CLT,448,5,20,Y,-0.994399512330715,-0.105686375074729,-0.9323097651233827,0.36166075520518254,-0.9135454576426008,0.40673664307580054,0.8660254037844386,0.5000000000000001,-0.8978045395707417,-0.44039415155763423,-2.4492935982947064e-16,1.0
1999,1339.0,US,87.0,74.0,55.0,82.0,69.0,LGA,IAD,229,5,27,Y,-0.13278054053820074,-0.9911454626110051,-0.44061543604318587,-0.8976959605125073,-0.7253743710122873,-0.6883545756937542,-0.866025403784439,0.49999999999999933,-0.29936312297335776,-0.9541392564000489,-2.4492935982947064e-16,1.0
1999,1451.0,TW,160.0,170.0,148.0,1.0,11.0,FLL,STL,1056,2,10,Y,-0.6448293769759565,-0.7643265497081727,-0.9250241337894778,-0.3799083467193454,-0.9255405040175664,-0.378648617352433,-0.4999999999999997,-0.8660254037844388,0.7907757369376985,-0.6121059825476629,-2.4492935982947064e-16,1.0
